zip,USAC_Gender,USAC_Age,Road_Cat,Track_Cat, XC_Cat, DH_Cat, OT_Cat, MX_Cat, Cross_Cat
94118,M,61,5,5,3,3,3,3,4
29605,M,48,1,5,3,3,3,3,1
92656,M,45,3,3,2,3,3,3,3
70115,M,46,4,4,3,3,3,2,3
77018,M,46,1,2,1,2,3,2,1
75040,M,46,3,1,3,3,3,3,4
75041,M,44,3,5,2,3,3,3,4
77459,M,46,5,5,3,3,3,3,4
78757,M,45,2,4,2,3,3,3,3
84102,M,48,3,3,1,2,3,2,3
78731,M,45,1,5,1,1,1,1,1
22206,M,44,3,5,3,3,3,3,4
92672,M,45,3,5,3,3,3,3,5
46032,M,45,3,2,2,2,3,3,3
46062,M,48,2,1,3,3,3,3,2
80027,M,47,3,5,1,2,2,3,2
2915,M,47,4,5,2,3,3,3,3
55105,M,45,3,2,3,3,3,3,3
94025,M,48,3,3,2,2,2,3,4
94618,F,47,2,4,1,2,2,3,1
98112,F,50,1,3,1,3,3,3,1
7047,M,52,2,4,3,3,3,3,2
38104,M,45,4,5,3,3,3,3,3
81224,M,47,2,1,3,3,3,3,2
2465,M,44,2,4,1,3,3,3,2
6410,M,44,2,4,1,3,3,3,3
90703,M,44,1,5,3,3,3,3,2
1003,M,47,1,1,2,3,3,3,3
94618,M,49,2,4,2,3,3,3,2
90015,M,45,3,4,3,3,3,3,5
22310,M,44,2,3,2,2,3,2,2
53711,M,43,3,5,2,2,3,2,3
84105,M,43,3,5,3,3,3,3,4
16506,M,46,3,5,3,3,3,3,4
22406,M,43,4,5,3,3,3,3,4
81301,M,45,4,5,3,3,2,3,4
22030,M,46,1,4,3,3,3,3,2
15224,M,47,2,4,3,3,3,3,1
19038,M,47,3,5,3,3,3,3,3
45233,M,46,4,4,3,3,3,3,4
94550,M,55,3,4,3,3,3,3,3
45140,M,43,1,5,3,3,3,3,3
91320,M,46,2,4,3,3,3,3,2
94041,M,47,4,3,3,3,3,3,4
94941,M,44,2,5,1,1,3,1,2
1940,M,47,3,5,3,3,3,3,3
87110,M,48,2,2,2,2,3,2,3
80304,F,49,1,4,1,1,1,1,1
97078,M,53,2,1,2,2,2,2,2
98208,M,56,3,3,3,3,2,3,1
92028,M,63,3,4,2,2,3,2,4
78249,M,54,4,4,2,3,3,2,3
43221,M,49,1,1,1,1,3,1,1
83616,M,48,2,4,1,1,3,1,2
7645,M,50,2,4,2,2,3,2,2
95062,M,48,1,5,1,2,2,2,1
43615,M,59,4,4,3,3,3,3,4
47401,F,54,3,4,2,2,2,2,3
76065,M,70,3,1,2,3,3,3,4
29464,M,53,3,5,2,1,1,1,3
84124,M,49,5,5,3,3,3,3,5
77025,M,61,4,4,2,2,3,2,3
85718,M,45,4,5,2,2,3,2,4
93306,M,49,3,4,1,1,3,1,2
46804,M,56,2,4,1,2,3,2,3
53186,M,42,5,5,2,2,3,2,5
8807,M,57,3,5,1,3,3,3,3
48864,M,63,3,3,2,2,2,3,3
94941,M,63,2,5,1,1,1,1,2
50323,M,53,5,5,1,1,3,1,3
61858,M,61,3,3,2,3,3,3,3
30040,M,54,3,5,2,2,2,2,4
95008,M,59,5,5,2,3,3,3,4
95376,M,62,5,5,3,3,3,3,4
86004,M,48,2,5,1,1,1,2,3
19460,M,55,2,4,1,1,3,1,1
90066,M,52,1,3,1,1,2,1,1
92782,M,56,3,3,3,3,3,3,5
80212,M,46,3,5,1,1,2,1,3
98199,M,57,2,5,3,3,3,3,3
80301,M,54,2,4,2,2,2,2,3
19350,M,41,3,4,1,2,3,2,2
93420,M,52,3,4,3,3,3,3,4
84405,M,60,3,4,3,3,3,3,3
98328,M,50,3,4,3,3,3,3,5
85024,M,51,2,4,1,1,2,1,2
89502,M,44,3,5,1,2,3,2,3
75027,M,58,3,2,2,2,2,2,3
60169,M,54,1,2,1,1,2,1,3
13066,M,47,5,5,1,3,3,2,3
80919,M,63,4,5,1,2,3,2,3
30269,M,54,1,4,1,1,1,1,1
14534,M,53,3,4,1,1,3,1,1
94703,M,53,4,4,3,3,3,3,4
17013,M,42,5,5,1,1,3,1,2
90815,M,58,5,5,3,3,3,3,5
91335,M,61,3,3,3,3,3,3,3
81301,M,85,4,5,2,2,3,2,4
83401,M,59,5,5,2,2,3,2,4
63141,M,49,1,3,1,1,2,1,3
37919,M,49,3,4,1,1,3,1,2
55442,M,55,2,4,1,2,3,2,2
11215,M,46,3,4,2,3,3,3,3
6854,M,60,3,4,2,2,2,3,4
83274,M,42,2,5,1,1,3,1,3
2492,M,53,4,5,3,3,3,3,3
94549,M,51,1,4,3,3,3,3,1
37919,M,51,1,2,2,2,3,2,1
89147,M,56,2,4,1,3,3,3,2
27609,F,56,3,4,3,3,3,3,4
80007,M,46,3,4,3,3,3,3,4
84054,M,67,,,,,,,
80401,M,45,5,5,1,1,1,1,4
53085,M,77,3,3,2,2,2,2,3
46220,M,53,1,2,3,3,2,3,3
85615,M,52,2,3,1,3,3,3,2
2719,M,58,5,5,3,3,3,3,4
75056,M,55,4,5,3,3,3,3,5
48307,M,43,5,5,1,3,3,3,3
53211,M,48,1,4,1,2,3,3,1
96766,M,50,2,4,3,3,2,3,5
90045,M,47,3,4,2,2,3,2,3
80477,M,59,4,4,3,3,3,3,3
91107,M,49,4,4,1,2,3,2,5
5045,M,57,4,5,2,2,3,2,3
29388,M,63,5,5,3,3,3,3,5
84604,M,41,1,3,2,2,3,2,1
63368,M,50,3,5,1,1,3,1,3
91741,M,63,3,4,3,3,3,3,3
94062,M,46,3,5,3,3,3,3,3
19465,M,47,3,3,1,1,3,3,3
14617,M,53,3,4,2,3,3,3,4
33556,M,57,2,5,1,2,2,2,3
21136,M,48,2,4,2,3,3,3,2
59911,M,66,3,4,2,2,3,2,3
7871,M,49,4,5,1,2,3,2,3
84020,M,44,5,5,1,1,1,1,3
92026,M,50,3,4,2,2,2,2,3
27609,M,57,3,4,3,3,3,3,2
80521,M,53,3,5,2,2,3,2,3
7834,M,62,1,4,1,1,3,1,2
5602,M,47,3,5,1,1,3,1,3
80829,M,61,2,4,3,3,3,3,3
80228,M,53,4,5,2,3,3,3,3
48423,M,57,4,5,2,2,3,2,4
19018,M,42,4,5,1,1,3,1,4
7701,M,53,2,4,2,2,2,2,3
40504,M,49,3,3,2,2,3,2,4
31405,M,45,3,5,3,3,3,3,5
63017,M,72,5,5,3,3,3,3,5
94404,M,59,4,5,3,3,3,3,4
80516,M,56,4,4,3,3,3,3,4
41015,M,51,5,5,2,1,3,1,4
78154,M,62,2,3,3,3,3,3,2
11211,M,40,2,5,1,1,3,1,2
4106,M,59,3,5,2,2,3,2,3
21738,M,54,1,4,1,2,2,2,1
28801,M,48,3,5,1,2,2,3,2
92082,M,48,2,2,1,2,2,3,2
10302,M,59,3,4,2,2,3,2,4
93190,M,53,1,3,1,1,2,1,1
98115,M,58,2,3,3,3,3,3,4
78247,M,49,2,5,1,2,2,3,1
80134,M,53,4,4,2,3,3,3,3
15501,M,57,3,4,2,3,3,3,3
1527,M,56,3,5,1,1,3,1,3
83712,F,61,4,4,2,3,3,3,4
1915,M,44,2,5,1,2,2,2,3
95060,M,50,4,4,3,3,3,3,3
12866,M,62,5,5,1,2,3,2,3
72205,M,50,4,5,1,2,3,2,4
7013,M,72,3,4,2,3,3,3,3
91741,M,48,2,4,2,3,3,3,2
34771,M,42,5,5,2,3,3,3,3
22801,M,42,1,5,1,1,2,1,1
53181,M,45,4,4,1,2,2,2,3
2720,M,59,3,5,1,2,3,2,3
21146,M,49,1,4,1,1,3,1,1
91325,M,49,2,5,2,2,2,2,2
93401,M,61,1,2,1,1,3,1,2
