December 2017 - March 2018 Contiguous U.S. County Minimum Temperature,,,,,
Units: Degrees Fahrenheit,,,,,
Missing: -99,,,,,
Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,39.6,88,1.3,38.3
AL-003,Baldwin County,45.8,98,2.4,43.4
AL-005,Barbour County,41.9,100,2.3,39.6
AL-007,Bibb County,37.8,84,1.4,36.4
AL-009,Blount County,36.4,96,2.4,34
AL-011,Bullock County,41,99,2.3,38.7
AL-013,Butler County,41.6,101,2.5,39.1
AL-015,Calhoun County,36.9,100,2.4,34.5
AL-017,Chambers County,37,97,2.3,34.7
AL-019,Cherokee County,36.6,106,2.6,34
AL-021,Chilton County,37.8,84,1.2,36.6
AL-023,Choctaw County,41.2,101,2.5,38.7
AL-025,Clarke County,42.3,106,2.8,39.5
AL-027,Clay County,36.4,94,1.9,34.5
AL-029,Cleburne County,35.9,102,2.4,33.5
AL-031,Coffee County,42.6,98,2.1,40.5
AL-033,Colbert County,34.5,92,2.1,32.4
AL-035,Conecuh County,42.9,102,2.8,40.1
AL-037,Coosa County,37.6,87,1.4,36.2
AL-039,Covington County,42.6,102,2.5,40.1
AL-041,Crenshaw County,40.8,95,1.9,38.9
AL-043,Cullman County,35.3,91,1.9,33.4
AL-045,Dale County,43.1,97,1.9,41.2
AL-047,Dallas County,40.1,80,0.8,39.3
AL-049,DeKalb County,35.8,99,2.3,33.5
AL-051,Elmore County,39.6,90,1.8,37.8
AL-053,Escambia County,43.6,101,2.6,41
AL-055,Etowah County,36.8,95,2,34.8
AL-057,Fayette County,37.2,90,1.8,35.4
AL-059,Franklin County,34.8,89,1.9,32.9
AL-061,Geneva County,43.7,99,2.4,41.3
AL-063,Greene County,39.2,84,1.2,38
AL-065,Hale County,38.8,80,0.8,38
AL-067,Henry County,43.2,100,2,41.2
AL-069,Houston County,44.2,98,2,42.2
AL-071,Jackson County,35.5,98,2.2,33.3
AL-073,Jefferson County,37.4,95,2.2,35.2
AL-075,Lamar County,37.3,90,1.7,35.6
AL-077,Lauderdale County,33.9,92,2.1,31.8
