State,Location,Value
AL,Autauga County,39.6
AL,Baldwin County,45.8
AL,Barbour County,41.9
AL,Bibb County,37.8
AL,Blount County,36.4
AL,Bullock County,41
AL,Butler County,41.6
AL,Calhoun County,36.9
AL,Chambers County,37
AL,Cherokee County,36.6
AL,Chilton County,37.8
AL,Choctaw County,41.2
AL,Clarke County,42.3
AL,Clay County,36.4
AL,Cleburne County,35.9
AL,Coffee County,42.6
AL,Colbert County,34.5
AL,Conecuh County,42.9
AL,Coosa County,37.6
AL,Covington County,42.6
AL,Crenshaw County,40.8
AL,Cullman County,35.3
AL,Dale County,43.1
AL,Dallas County,40.1
AL,DeKalb County,35.8
AL,Elmore County,39.6
AL,Escambia County,43.6
AL,Etowah County,36.8
AL,Fayette County,37.2
AL,Franklin County,34.8
AL,Geneva County,43.7
AL,Greene County,39.2
AL,Hale County,38.8
AL,Henry County,43.2
AL,Houston County,44.2
AL,Jackson County,35.5
AL,Jefferson County,37.4
AL,Lamar County,37.3
AL,Lauderdale County,33.9
AL,Lawrence County,34.4
AL,Lee County,39.9
AL,Limestone County,34.9
AL,Lowndes County,40.9
AL,Macon County,41
AL,Madison County,35.2
AL,Marengo County,39.7
AL,Marion County,35.7
AL,Marshall County,36.3
AL,Mobile County,45.5
AL,Monroe County,43
AL,Montgomery County,40.6
AL,Morgan County,35.2
AL,Perry County,38.7
AL,Pickens County,38.7
AL,Pike County,40.9
AL,Randolph County,36
AL,Russell County,41.4
AL,St. Clair County,37
AL,Shelby County,37.2
AL,Sumter County,39.6
AL,Talladega County,37.1
AL,Tallapoosa County,37.6
AL,Tuscaloosa County,38.6
AL,Walker County,36.4
AL,Washington County,42.8
AL,Wilcox County,41.3
AL,Winston County,34.4
AZ,Apache County,22
AZ,Cochise County,35.2
AZ,Coconino County,26.3
AZ,Gila County,36
AZ,Graham County,36.8
AZ,Greenlee County,32.8
AZ,La Paz County,44.9
AZ,Maricopa County,44.6
AZ,Mohave County,37.6
AZ,Navajo County,23.4
AZ,Pima County,41.9
AZ,Pinal County,43.2
AZ,Santa Cruz County,35.6
AZ,Yavapai County,33.5
AZ,Yuma County,45.2
AR,Arkansas County,37.1
AR,Ashley County,38.9
AR,Baxter County,29
AR,Benton County,29.8
AR,Boone County,29
AR,Bradley County,37.7
AR,Calhoun County,36.5
AR,Carroll County,29.3
AR,Chicot County,38.8
AR,Clark County,35.1
AR,Clay County,30.8
AR,Cleburne County,31.9
AR,Cleveland County,36.3
AR,Columbia County,37.4
AR,Conway County,32.3
AR,Craighead County,33.5
AR,Crawford County,31.6
AR,Crittenden County,35.5
AR,Cross County,34.9
AR,Dallas County,35.6
AR,Desha County,37.9
AR,Drew County,38.1
AR,Faulkner County,32.9
AR,Franklin County,31.6
AR,Fulton County,28.8
AR,Garland County,34.4
AR,Grant County,35
AR,Greene County,32.3
AR,Hempstead County,36.3
AR,Hot Spring County,35
AR,Howard County,35
AR,Independence County,32.1
AR,Izard County,29.8
AR,Jackson County,33.2
AR,Jefferson County,36
AR,Johnson County,31.4
AR,Lafayette County,38
AR,Lawrence County,32
AR,Lee County,36.2
AR,Lincoln County,37.4
AR,Little River County,37.2
AR,Logan County,32.4
AR,Lonoke County,35.3
AR,Madison County,29.6
AR,Marion County,29
AR,Miller County,38.4
AR,Mississippi County,34
AR,Monroe County,36.4
AR,Montgomery County,33.5
AR,Nevada County,36.2
AR,Newton County,30.3
AR,Ouachita County,36.4
AR,Perry County,33.8
AR,Phillips County,36.6
AR,Pike County,34.2
AR,Poinsett County,34.1
AR,Polk County,33.6
AR,Pope County,32
AR,Prairie County,36
AR,Pulaski County,34.6
AR,Randolph County,30
AR,St. Francis County,35.7
AR,Saline County,34.7
AR,Scott County,32.7
AR,Searcy County,30.7
AR,Sebastian County,32.8
AR,Sevier County,36
AR,Sharp County,30.4
AR,Stone County,30.5
AR,Union County,37.7
AR,Van Buren County,31.1
AR,Washington County,29.9
AR,White County,34.4
AR,Woodruff County,34.9
AR,Yell County,33.2
CA,Alameda County,41.6
CA,Alpine County,23.6
CA,Amador County,37.7
CA,Butte County,38
CA,Calaveras County,37.7
CA,Colusa County,38.9
CA,Contra Costa County,42.4
CA,Del Norte County,35.7
CA,El Dorado County,33.6
CA,Fresno County,33.1
CA,Glenn County,36.9
CA,Humboldt County,37
CA,Imperial County,48.3
CA,Inyo County,35.4
CA,Kern County,38.6
CA,Kings County,40
CA,Lake County,37.4
CA,Lassen County,22.8
CA,Los Angeles County,43
CA,Madera County,33.5
CA,Marin County,43.1
CA,Mariposa County,33.6
CA,Mendocino County,36.7
CA,Merced County,40.7
CA,Modoc County,23.8
CA,Mono County,19.6
CA,Monterey County,38.2
CA,Napa County,39
CA,Nevada County,31.2
CA,Orange County,49.5
CA,Placer County,32.6
CA,Plumas County,24
