zip,Total_racers,Male_Racers,Female_Racers,Junior_Racers,Elite_Racers,Master_Racers,Pro_Road_Racers,Pro_MTB_Racers,Pro_Track_Racers,Pro_Cross_Racers,Mid_Road_Racers,Mid_MTB_Racers,Mid_Track_Racers,Mid_Cross_Racers
969,1,1,0,0,0,1,0,0,0,0,0,1,0,0
1002,7,6,1,0,3,4,1,3,0,0,2,7,0,4
1003,1,1,0,0,0,1,1,1,1,0,0,1,0,1
1007,7,6,1,1,1,5,1,2,1,1,1,7,1,2
1010,1,1,0,0,1,0,0,1,0,0,0,1,0,0
1012,2,1,1,1,0,1,0,0,0,0,0,2,0,1
1020,2,2,0,0,0,2,0,2,0,0,0,2,0,1
1027,17,14,3,0,9,8,10,11,0,11,0,13,0,2
1028,8,6,2,1,2,5,0,2,0,0,1,8,0,3
1030,2,2,0,0,1,1,1,1,0,1,1,1,0,1
1034,1,1,0,0,1,0,0,1,0,0,0,1,0,1
1035,4,2,2,2,1,1,0,0,0,0,0,4,0,0
1036,1,1,0,0,1,0,1,1,0,1,0,1,0,0
1038,5,3,2,0,3,2,1,3,0,1,1,5,0,2
1039,1,1,0,0,0,1,0,1,0,0,0,1,0,1
1040,1,1,0,0,1,0,0,0,0,0,0,1,0,0
1053,3,2,1,0,2,1,0,2,0,2,2,3,0,0
1054,3,3,0,0,1,2,2,1,0,2,0,3,0,0
1057,2,2,0,0,1,1,0,0,0,0,1,2,0,0
1060,12,10,2,1,9,2,1,2,0,0,0,12,0,2
1061,1,1,0,0,1,0,0,0,0,0,1,1,0,0
1062,10,8,2,4,1,5,1,4,0,1,0,10,0,3
1063,1,1,0,0,1,0,1,1,0,1,0,1,0,0
1072,5,4,1,0,2,3,0,1,0,1,1,4,1,1
1073,7,6,1,2,5,0,2,3,0,1,0,7,0,1
1075,4,4,0,2,0,2,0,2,0,0,0,4,0,1
1077,3,3,0,1,0,2,0,0,0,0,0,3,0,1
1082,1,1,0,0,0,1,1,1,0,1,0,1,0,0
1085,5,5,0,0,3,2,0,0,0,0,1,5,0,1
1088,3,3,0,0,1,2,0,2,0,1,0,3,0,0
1089,1,1,0,0,0,1,0,1,0,0,0,1,0,0
1093,2,2,0,0,0,2,0,2,0,0,1,1,0,1
1095,4,3,1,1,2,1,0,1,0,1,1,3,0,1
1096,1,1,0,0,1,0,0,1,0,1,1,1,0,0
1104,1,1,0,0,1,0,0,1,0,0,0,1,0,0
1106,7,7,0,0,2,5,0,4,0,0,3,6,0,3
1108,2,2,0,0,2,0,0,0,0,0,0,2,0,0
1116,1,1,0,0,0,1,0,0,0,0,0,1,0,0
1118,2,2,0,0,1,1,0,0,0,0,0,2,0,0
1119,1,1,0,0,0,1,1,0,0,0,0,1,0,1
1151,1,1,0,0,1,0,0,1,0,0,0,1,0,0
1201,20,19,1,0,1,19,2,6,0,2,3,20,0,3
1205,1,0,1,0,0,1,0,0,0,0,0,1,0,0
1220,1,0,1,0,1,0,0,0,0,0,0,1,0,0
1223,1,1,0,0,1,0,0,1,0,0,0,1,0,0
1225,1,1,0,0,1,0,0,0,0,0,1,1,0,1
1226,2,2,0,0,1,1,0,0,0,0,0,2,0,0
1230,1,0,1,0,0,1,1,0,0,0,0,1,0,1
1234,1,0,1,0,1,0,0,1,0,0,0,1,0,1
1235,1,1,0,0,1,0,0,0,0,0,0,1,0,0
1236,3,2,1,0,3,0,1,0,0,0,0,3,0,2
1238,1,1,0,0,0,1,0,1,0,0,0,1,0,1
1240,1,1,0,0,0,1,0,0,0,0,0,1,0,0
1242,1,0,1,0,0,1,0,0,0,0,0,1,0,0
1254,1,1,0,0,0,1,0,0,0,0,0,1,0,1
1257,1,1,0,0,0,1,0,1,0,0,1,1,0,0
1262,1,1,0,0,0,1,0,0,0,0,0,1,0,0
1267,3,3,0,0,2,1,0,1,0,0,1,3,0,1
1270,1,1,0,0,0,1,0,1,0,0,1,1,0,1
1301,6,5,1,1,1,4,1,2,0,0,0,6,0,2
1331,2,2,0,0,1,1,1,0,0,0,1,2,0,1
1340,1,0,1,0,0,1,0,0,0,0,1,1,0,0
1341,2,2,0,1,0,1,1,1,0,1,0,2,0,0
1342,2,2,0,1,0,1,2,0,0,0,0,2,0,1
1351,1,1,0,0,0,1,0,1,0,0,0,1,0,0
1364,1,1,0,0,0,1,0,0,0,0,0,1,0,0
1366,2,2,0,1,1,0,0,0,0,0,1,2,0,0
1368,1,1,0,0,0,1,0,1,0,0,0,1,0,0
1370,6,5,1,1,1,4,0,1,0,2,1,6,0,1
1373,1,1,0,0,0,1,0,0,0,0,0,1,0,0
1420,2,2,0,0,1,1,0,1,0,0,0,2,0,1
1431,2,2,0,1,0,1,0,1,0,0,0,2,0,0
1432,2,1,1,0,1,1,0,0,0,0,1,2,0,1
1436,3,2,1,0,1,2,0,3,0,0,0,3,0,0
1450,4,4,0,1,1,2,0,0,0,0,0,4,0,0
1451,5,4,1,0,1,4,0,1,0,0,3,5,0,2
1452,1,1,0,0,0,1,0,1,0,0,0,1,0,1
1453,6,6,0,0,0,6,0,1,0,0,2,5,0,1
1460,4,4,0,2,0,2,0,1,0,0,1,4,0,2
